

2025-09-14 05:22:00,514 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4676.09, "qty": 0.09780208600000001, "fee": 0.0, "pnl": -6.437883143299958}
2025-09-14 05:22:00,514 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.670375374, "locked": 0.0}
2025-09-14 05:22:00,515 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4676.08, "qty": 0.09780208600000001, "fee": 0.34299778372716005, "pnl": 0.0, "slippage_bps": -0.02138538822011184, "maker": false}
2025-09-14 05:37:00,754 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.09978208200000001, price=4679.95, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.09978208200000001) via paper reason=None
2025-09-14 05:37:00,754 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-11 tid=trade-13 reason=None
2025-09-14 05:37:00,754 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4679.95, "qty": 0.09978208200000001, "fee": 0.0, "pnl": -6.437883143299958}
2025-09-14 05:37:00,754 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.7701574560000001, "locked": 0.0}
2025-09-14 05:37:00,755 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4679.95, "qty": 0.09978208200000001, "fee": 0.35023136599192506, "pnl": 0.0, "slippage_bps": 0.0, "maker": true}
2025-09-14 06:05:00,754 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='sell', type_='limit', qty=0.120006631, price=4672.28, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.120006631) via paper reason=None
2025-09-14 06:05:00,754 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-12 tid=trade-14 reason=None
2025-09-14 06:05:00,754 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "sell", "price": 4672.28, "qty": 0.120006631, "fee": 0.0, "pnl": -6.437883143299958}
2025-09-14 06:05:00,754 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 0.7701574560000001, "locked": 560.70338182237}
