

2025-09-14 03:02:03,891 | INFO | tradingbot.live.runner_paper | Connecting to Binance spot WS in paper mode for ETHUSDT
2025-09-14 03:02:09,187 | INFO | tradingbot.live.runner_paper | METRICS {"leverage": 1}
INFO:     Started server process [13]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:44749 (Press CTRL+C to quit)
2025-09-14 03:22:03,151 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4670.0, "qty": 0.011200282, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:22:03,152 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.090647692, "locked": 0.0}
2025-09-14 03:22:03,152 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4670.0, "qty": 0.011200282, "fee": 0.039228987705, "pnl": 0.0, "slippage_bps": 0.0, "maker": true}
2025-09-14 03:23:00,946 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.011795399000000002, price=4669.17, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.011795399000000002) via paper reason=None
2025-09-14 03:23:00,946 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-14 tid=trade-18 reason=None
2025-09-14 03:23:00,947 | INFO | tradingbot.live.runner_paper | METRICS {"event": "order", "side": "buy", "price": 4669.17, "qty": 0.011795399000000002, "fee": 0.0, "pnl": 0.0}
2025-09-14 03:23:00,947 | INFO | tradingbot.live.runner_paper | METRICS {"exposure": 2.102443091, "locked": 0.0}
2025-09-14 03:23:00,947 | INFO | tradingbot.live.runner_paper | METRICS {"event": "fill", "side": "buy", "price": 4669.16, "qty": 0.011795399000000002, "fee": 0.04130595389613, "pnl": 0.0, "slippage_bps": -0.02141708269396548, "maker": false}
2025-09-14 03:33:02,599 | INFO | tradingbot.execution.router | Routing order Order(symbol='ETHUSDT', side='buy', type_='limit', qty=0.004506574, price=4670.0, post_only=True, time_in_force='GTC', iceberg_qty=None, reduce_only=False, reason=None, slip_bps=0.0, pending_qty=0.004506574) via paper reason=None
2025-09-14 03:33:02,600 | INFO | tradingbot.execution.router | Order executed venue=paper oid=paper-15 tid=trade-19 reason=None
